Long,Lat,Junction_ID
-79.3163681,43.7316666,426
-79.4167328,43.655117,427
-79.204834,43.797451,428
-79.3799744,43.6540642,429
-79.4989166,43.6175003,430
-79.2251663,43.7417946,431
-79.2160568,43.7793198,432
-79.498497,43.6022644,433
-79.288002,43.6826973,434
-79.3971558,43.7008553,435
-79.4159241,43.6836357,436
-79.4005051,43.7291222,437
-79.2421265,43.7057419,438
-79.5613022,43.6907425,439
-79.5089798,43.7223663,440
-79.3768387,43.6411552,441
-79.4203186,43.7594452,442
-79.4008408,43.7077637,443
-79.3802795,43.6486511,444
-79.3780899,43.6526833,445
-79.2572784,43.7873955,446
-79.3662109,43.6442146,447
-79.4369888,43.7556953,448
-79.4178238,43.7889824,449
-79.3828125,43.6701622,450
-79.391777,43.7126083,451
-79.5592575,43.7304764,452
-79.5136871,43.7412415,453
-79.2895889,43.7591324,454
-79.5665817,43.7374573,455
-79.4682236,43.6563339,456
-79.3780518,43.702198,457
-79.3809586,43.6657257,458
-79.3043823,43.7288933,459
-79.4430084,43.7738609,460
-79.285553,43.7689018,461
-79.3748474,43.660656,462
-79.4537506,43.755146,463
-79.5724869,43.7170219,464
-79.3897552,43.6501961,465
-79.3475571,43.656498,466
-79.3761063,43.6441498,467
-79.4101257,43.7582283,468
-79.4129257,43.7355423,469
-79.3823776,43.6712227,470
-79.3266983,43.7746696,471
-79.5001678,43.6615906,472
-79.4371796,43.6952438,473
-79.5097809,43.7604637,474
-79.5177765,43.7590179,475
-79.3745651,43.6570702,476
-79.3442841,43.6825256,477
-79.4954758,43.6512604,478
-79.3866272,43.650856,479
-79.5114594,43.6839638,480
-79.5764084,43.6377563,481
-79.4651794,43.6697922,482
-79.1552658,43.7864952,483
-79.1824646,43.8093452,484
-79.442337,43.6882973,485
-79.1992416,43.747509,486
-79.347229,43.7617531,487
-79.5180206,43.6151047,488
-79.4820404,43.7463875,489
-79.424057,43.7276649,490
-79.513443,43.7580605,491
-79.3575668,43.7022667,492
-79.3967285,43.636673,493
-79.4353485,43.6753044,494
-79.4531784,43.7069855,495
-79.4333191,43.6337547,496
-79.3988266,43.6549149,497
-79.5598526,43.7498055,498
-79.3936386,43.6457634,499
-79.324707,43.7237015,500
-79.5651779,43.651268,501
-79.2876434,43.7378769,502
-79.3764572,43.6548309,503
-79.3746109,43.7042732,504
-79.1977463,43.7978325,505
-79.5303497,43.6469917,506
-79.2447128,43.7591591,507
-79.389183,43.6494598,508
-79.3426666,43.6906204,509
-79.5132065,43.7255173,510
-79.4444656,43.7447433,511
-79.5308533,43.7418175,512
-79.2919464,43.6818542,513
-79.4675293,43.7295876,514
-79.2520523,43.7358513,515
-79.5034714,43.766571,516
-79.3847733,43.7050781,517
-79.2378922,43.7809296,518
-79.2153549,43.8011818,519
-79.4103622,43.7276993,520
-79.3466263,43.7032127,521
-79.4444275,43.7467575,522
-79.3275604,43.7266464,523
-79.4960175,43.6892929,524
-79.2964249,43.7043915,525
-79.379982,43.7560005,526
-79.3842926,43.7657547,527
-79.4754562,43.6972389,528
-79.3049698,43.6728287,529
-79.3911362,43.6498985,530
-79.2854004,43.6969986,531
-79.4202728,43.654911,532
-79.5410919,43.7459641,533
-79.5412979,43.6899071,534
-79.5175171,43.7011375,535
-79.4556808,43.7182617,536
-79.2858124,43.6952248,537
-79.219696,43.7450218,538
-79.3529205,43.7774773,539
-79.5244141,43.5965309,540
-79.452713,43.6572876,541
-79.2071381,43.8119583,542
-79.3154602,43.7633247,543
-79.4005966,43.6478882,544
-79.5216675,43.6241188,545
-79.401413,43.6613045,546
-79.2465057,43.7508163,547
-79.3767319,43.6494064,548
-79.4185715,43.6639481,549
-79.4221802,43.6957436,550
-79.5255127,43.6472054,551
-79.4356003,43.6498909,552
-79.5838089,43.7468147,553
-79.567749,43.742466,554
-79.2978287,43.6854782,555
-79.5647964,43.6557579,556
-79.1921844,43.7732735,557
-79.4940567,43.7752571,558
-79.3801117,43.6637001,559
-79.5242844,43.7559319,560
-79.3033066,43.688652,561
-79.5586472,43.694252,562
-79.3028793,43.7554131,563
-79.3187485,43.8014984,564
-79.4763947,43.6831665,565
-79.5648193,43.6393433,566
-79.5404587,43.6582375,567
-79.5118561,43.6809502,568
-79.4639435,43.6578331,569
-79.4171066,43.6386528,570
-79.4513092,43.6393433,571
-79.4998016,43.774353,572
-79.5849686,43.6783447,573
-79.3631821,43.6627922,574
-79.3313522,43.6817131,575
-79.4742966,43.7555351,576
-79.5953674,43.7442894,577
-79.4311295,43.6607933,578
-79.3833847,43.662056,579
-79.3491211,43.7827721,580
-79.4400177,43.7215385,581
-79.4239578,43.6541252,582
-79.3547058,43.8049126,583
-79.3427811,43.6676369,584
-79.2472229,43.7108192,585
-79.2420425,43.7608452,586
-79.4409943,43.6729927,587
-79.4285431,43.7944794,588
-79.5158768,43.6988373,589
-79.4329147,43.6603928,590
-79.4340057,43.7373581,591
-79.3453674,43.690094,592
-79.2738724,43.7257805,593
-79.4159927,43.6640892,594
-79.5761948,43.6660004,595
-79.5170746,43.7548561,596
-79.5067825,43.7458496,597
-79.5495682,43.7032852,598
-79.5181274,43.7544861,599
-79.3895035,43.6459389,600
-79.295639,43.7428169,601
-79.3737793,43.6672974,602
-79.2178497,43.7406616,603
-79.196434,43.7661514,604
-79.3250046,43.6665497,605
-79.3902893,43.6478577,606
-79.3852615,43.6665497,607
-79.3141327,43.819622,608
-79.3180313,43.7481918,609
-79.136673,43.7796021,610
-79.5746613,43.7281418,611
-79.2692413,43.7352943,612
-79.4891663,43.614048,613
-79.26297,43.7290344,614
-79.4216461,43.739872,615
-79.467247,43.6539841,616
-79.404213,43.6528358,617
-79.1891479,43.7615433,618
-79.1738205,43.7646713,619
-79.3771439,43.6565018,620
-79.3599701,43.7529564,621
-79.3974152,43.6485405,622
-79.3193054,43.6729088,623
-79.3835449,43.6937981,624
-79.4104843,43.7965355,625
-79.3660431,43.6621704,626
-79.1494446,43.7968788,627
-79.4504471,43.7885361,628
-79.3895035,43.6652336,629
-79.4519196,43.7526894,630
-79.2993927,43.797821,631
-79.206749,43.7832565,632
-79.5713654,43.756916,633
-79.524704,43.6271896,634
-79.4488144,43.7742844,635
-79.3589249,43.6568336,636
